帧,流量,密度,平均速度,TPI
167,28,5,4.922079092008151,4.407980482608759
200,28,3,6.227204578015696,3.484136148027781
234,28,3,2.185141306992766,11.45452782603261
267,26,5,1.559133807426231,25.18245728866231
300,28,5,4.680040644903102,8.705917471768284
333,33,8,5.635833659428877,5.806997634239837
366,34,5,1.711773596689588,15.592702517556354
399,40,4,3.526292963065734,6.433810303802907
432,45,6,4.948585911803868,4.3259645864375695
465,49,6,3.483820859669632,5.316119544970399
498,47,6,4.697910121748487,4.362887618011893
531,46,6,3.572428210774849,7.322588095949778
564,47,4,0.5525080938055283,56.608393787059306
597,41,7,4.246422348775824,10.128085844710988
630,43,5,4.900532958999981,7.312129850596006
663,48,9,5.285445938026617,4.996030667917319
696,41,6,1.679488444707381,13.179100107068535
729,38,7,9.05420263476825,2.036952694798222
762,39,5,4.640586648436608,2.652184570638006
795,37,5,3.69899734136223,2.946988033488671
828,33,2,9.302092205527883,1.436084008138229
861,36,4,1.832117533349013,7.2775534814956515
894,40,6,5.223472998845268,2.4927540232737484
927,34,4,5.501066381942161,2.356940522854088
960,37,4,1.514111486740947,8.568043427830192
993,33,3,1.595388229378537,9.892782203223526
1026,31,5,3.814340143839412,5.13765774801164
1059,32,6,4.642203381069224,4.089518153689206
1092,31,6,4.565482740381988,4.292377237616881
1125,31,4,0.7838570930065092,23.182852043927078
1158,35,7,10.57746945851795,1.6409541927975309
1191,41,5,3.314080795649248,3.833114765698307
1224,43,7,3.506083376375125,3.1838349232913625
1257,44,8,3.991328459273305,2.733197986686646
1290,47,4,1.628031745969807,7.939361100845098
1323,50,6,3.393053140778659,5.67826847010278
1356,49,5,9.61251819714928,2.691006290780996
1389,43,8,5.23257446113458,5.070354554722431
1422,53,11,6.375926876514376,2.5252217038630125
1455,53,5,6.474553205698935,1.5177949293099358
1488,56,5,4.525347257725095,2.222928592353101
1521,50,2,1.68484994669406,7.211324678402493
1554,48,6,3.061896348779564,5.103046680932862
1587,36,4,2.886749080701836,7.706028389887631
1620,34,5,7.704452501220265,2.494101465544286
1653,43,8,4.553640383200217,2.8769894175506803
1686,38,5,4.469253234918397,2.374901248555699
1719,38,3,1.933467612722151,6.000036988801405
1752,39,1,0.8839285714285714,13.923853923853923
1785,38,3,1.971611383873035,7.5190078150124044
1818,40,6,10.71433380139537,1.1199949733166978
1851,40,6,2.747255336597854,4.011579552332879
1884,37,2,0.2083439623138933,43.24103712415692
1917,39,6,7.238699707199059,0.5785616695591183
1950,41,6,3.374104959549955,0.21685967859481386
35,8,1,36.0,0.28935185185185186
69,18,7,10.06520796658221,0.901528721930155
102,23,2,14.0625,0.2576489533011272
135,27,5,13.52736157555541,0.32855220285349424
168,29,2,29.2900399798264,0.1922900723906543
201,32,5,4.45477494939267,3.3671734645192313
234,32,5,9.06168126050873,2.4168850169242355
267,35,8,4.677599176835705,5.88417444147679
300,44,6,2.728032381042895,6.671752762993099
333,39,7,4.985617874740832,4.667271209677372
366,39,2,0.09821428571428566,19.804195804196
399,40,7,8.325038336236293,1.9619529272603384
432,39,5,2.420694560597519,5.084364011895125
465,36,4,1.526636104020699,7.3388174655351905
498,40,6,9.649088100081702,1.1421631991566144
531,38,4,1.417286086184523,12.130918819943822
564,36,3,1.322721496910594,20.230456163114724
597,41,8,4.30744729264581,8.323644168043339
630,41,4,4.409097970987061,10.183120057477081
663,38,7,4.462262764372907,13.288828727765074
696,43,11,3.294669772858923,15.299553587868626
729,42,10,4.712613961369739,8.525750625432808
762,42,6,2.358564452290959,12.795313437060367
795,40,4,2.024004794940069,13.339889345864654
828,43,5,3.732751889380672,6.360002159548382
861,45,7,4.746016571172422,3.7497332825157046
894,47,8,7.629129296552694,1.822057102392975
927,48,6,3.716996252764613,2.9192104878701333
960,46,6,3.395014868321219,3.6071644121104667
993,44,4,1.22063669149902,9.697497457318336
1026,43,4,5.208267169198026,2.5153807913843487
1059,39,4,3.249643668678721,5.529863364186007
1092,35,4,3.06435869333507,10.069690250118772
1125,36,6,4.051764924322156,10.563526444734784
1158,40,6,2.358202138431829,20.354489217756083
1191,40,5,2.887385379247257,16.624036522798228
1224,37,9,2.917123949217122,17.788716830430975
1257,37,6,3.679123320035203,11.851628719851227
1290,39,10,3.551062003124088,10.11494684891546
1323,43,10,5.923475829776615,4.47895940058871
1356,50,7,4.694316565162541,4.349230901508181
1389,44,6,2.76005999116596,9.39400969037534
1422,46,4,4.800182420737425,6.657355687374301
1455,55,9,10.28042315487956,2.853319643696805
1488,52,11,7.903802721681376,3.7490068135337733
1521,53,6,3.412395767616917,7.3723080256811295
1554,45,3,1.011616592959948,29.28938674575766
1587,41,5,2.778283630633531,10.563929892659083
1620,39,4,3.948102570258491,7.0140801054453386
1653,40,7,1.996096148607677,11.365935461488192
1686,36,7,3.871087357069428,6.511951554722101
1719,36,4,4.652271778027361,5.095081464426926
1752,34,6,3.484633726717736,7.2024898982214545
1785,38,7,3.499063482203268,4.568891701043579
1818,40,8,8.62497404539523,0.9661864823561294
1851,38,3,2.135277534552105,2.62918285650249
1884,36,1,1.822265432750662,2.146798686255009
1917,39,7,3.120411469347745,0.5546605785072989
1950,35,3,3.617607686686096,0.059234094143030304
35,9,7,8.822605224969431,1.7736425635209543
68,15,4,4.170494227741933,1.6118526618515174
101,19,4,7.868306753528945,0.9420426699086141
134,23,3,2.020411106879508,5.810268214627618
167,31,4,1.764675807444996,7.372885508647504
200,34,5,2.053993067271166,8.698981191091168
233,36,3,1.099495853638199,20.23233675394146
266,39,4,4.76915895214032,6.133604907215113
299,35,6,5.103131568794918,8.230240477597192
332,40,9,5.255159653815878,6.993127216090397
365,47,9,2.526728449205271,12.378297222449147
398,44,6,4.683494460749263,7.1333682977701525
431,49,9,4.923298445148248,6.38709568019
464,51,9,3.300886188867665,8.321195791018862
497,54,11,6.546403743079268,3.771743844976654
530,60,10,6.371141147311462,2.5200439268765513
563,65,10,3.234105738447026,4.31697031286386
596,60,2,0.7411966398632113,19.18819036314972
629,61,7,3.479540785783554,5.971675518070134
662,56,4,2.639531633810838,9.944946165354882
695,56,6,2.937174615551885,8.106267732076965
728,48,8,4.911622690261459,4.580970774610186
761,47,6,5.274124956933499,4.118191801177348
794,44,5,1.698647020028899,13.65837475484628
827,43,7,6.771481378293824,3.1166963303542787
860,46,6,5.780070670204828,3.011973604336249
893,43,4,5.257117617919819,3.3177611255381847
926,40,8,4.500161117151733,3.8933791207063972
959,40,6,11.15268591803492,1.2627750334616064
992,42,6,2.73754653675418,4.899532567801172
1025,43,5,1.816104834359194,8.366146139891468
1058,41,6,5.296925757151345,4.435768224168119
1091,41,6,6.356626666073589,3.916916202838645
1124,42,12,5.654308007488939,3.821359365023082
1157,41,6,3.960775280742567,4.618460182724569
1190,41,5,3.260827986239621,5.242072261122711
1223,46,10,6.887738296588822,2.693296963223541
1256,52,5,2.630331222945559,6.238855497399865
1289,52,7,3.580099888148512,5.801299242511305
1322,51,6,1.231819325957097,18.15954708160727
1355,51,7,2.935786189534972,9.356035653873256
1388,49,5,4.677788060216334,5.249879390242399
1421,47,12,6.012187905995977,4.485569235034655
1454,47,4,1.106343396613316,18.526303825242646
1487,48,9,4.517890810144578,4.44221546908129
1520,48,5,2.187527847864851,7.626887033261003
1553,43,3,4.29989881057766,4.615215872404228
1586,40,5,6.463499317985182,3.5100955200645405
1619,41,8,8.70093504815739,3.027429037090964
1652,42,8,8.476457394419556,3.5602811439174316
1685,53,6,4.466767671833507,6.81482759093938
1718,57,7,5.892035651145394,4.803788578867344
1751,55,11,5.755214457482026,5.096827155623843
1784,55,3,1.074111687276613,26.082158724278784
1817,52,5,1.473771913313243,17.39823198515235
1850,48,10,5.746707161586864,3.2899275129897747
1883,46,4,2.266792199047094,2.8850703982539594
1916,47,7,3.271153145716543,0.4390409585826242
1949,43,2,15.28354935165175,0.005072079662999448
35,5,3,8.542926546446177,5.638192767407536
68,10,6,5.941467710935846,4.544331689340647
101,16,7,9.259682436892835,2.480511632719379
134,20,2,2.444561422057045,6.8178555532640415
167,26,7,8.368185937495475,2.3938343903537476
200,34,3,2.492800198148231,5.201253708235953
233,35,8,10.32955800893376,1.3276740110684884
266,36,4,7.973064215092069,1.8145586442420907
299,40,4,3.687913006548055,4.428882488370188
332,40,8,4.041811563001602,4.334896137592743
365,37,4,2.520258902819444,8.042931719274426
398,38,5,2.466645522154154,8.00149106468558
431,38,7,2.79994873502197,8.02019696646374
464,38,5,7.234241300222616,3.3011863934692816
497,34,5,2.419974930544046,17.866009094535176
530,39,8,7.894310458821802,5.727374854272351
563,40,14,3.955118183433192,14.243147921419094
596,40,5,7.125240253357575,7.3096950392361135
629,43,10,6.911126637090365,7.582425200250113
662,40,9,5.069470113269796,10.68898697285133
695,49,12,5.724069655865302,7.427758458381974
728,56,11,5.080902166645544,6.197343346778896
761,59,11,6.555822977466022,3.1110480402068497
794,63,9,11.02012423866107,1.3071324417765424
827,62,5,5.207999495462285,3.161492964388114
860,61,6,6.296700551772713,3.471329677749101
893,59,11,6.951871045286265,3.9334205986031177
926,63,6,4.687145216149124,5.714718245431483
959,67,8,4.585463709964456,5.492697959739025
992,61,8,3.611835704141957,8.355196110888555
1025,54,6,4.394767267480931,8.09042968410382
1058,59,8,3.364655293930152,10.079020409522839
1091,55,8,1.979868977170467,15.496893246777953
1124,50,9,3.662609077998315,8.027064689106174
1157,49,5,1.712666722162382,15.103549688941154
1190,53,9,3.332697052396456,7.175898068030492
1223,49,7,1.714805483081904,14.321054703601474
1256,45,7,4.926578128499444,6.014241296251266
1289,46,6,2.967399797437355,11.288123979964432
1322,45,8,6.666725511108159,5.8777258970531285
1355,47,10,4.287970910162532,9.526898546109496
1388,50,10,5.387714580110404,6.545756302098688
1421,50,9,3.219371654456427,9.132216828492897
1454,53,6,4.385199776768593,5.45359289360482
1487,51,5,3.937685199358112,6.639380632543948
1520,46,7,5.551548060193363,6.033700230711416
1553,42,6,1.358442736871601,30.906070491284385
1586,45,7,4.971800181513061,8.22788646243585
1619,44,9,4.360548463003431,8.79528643074791
1652,42,6,4.008102908723543,7.529390366422097
1685,38,8,3.282563079742554,6.841038482842618
1718,43,7,4.538029623855452,4.373034749704885
1751,42,2,0.813225078411479,26.569695685417592
1784,45,9,7.018477336798181,4.013216160004908
1817,41,6,8.647718776920678,3.7605669243134234
1850,45,10,9.20914639685009,3.7181231859287736
1883,48,10,5.591264811467844,4.250802262551324
1916,55,12,8.900578871519516,0.9005202505197464
1949,62,12,11.01180794097378,0.09886747782517896
35,16,5,16.82316146083671,1.1176307959180818
68,21,2,14.0625,1.6253968253968254
101,30,9,11.15858584394577,3.049470448465472
134,43,8,13.25469932547383,2.4578090064431075
167,55,7,4.164089828848945,7.368193156942385
200,63,13,5.240947513179738,4.886228214281178
233,64,9,6.407514424503625,3.7573884720826682
266,68,9,8.053717889240453,3.219801451409567
299,66,11,3.834743319246416,7.273345780779721
332,63,7,3.015639367750099,8.110277448698808
365,62,6,3.636082910068585,5.337777666398575
398,57,7,8.694572099136051,2.059831872223567
431,52,6,2.084975624892653,9.961378215296925
464,51,5,4.888281753976749,4.576103050433543
497,46,7,4.817682742467817,5.719419334775972
530,50,7,4.816021220582327,4.239322405684499
563,46,11,4.629841998324062,3.7602622932180054
596,42,6,9.631085196089213,1.5018334299606304
629,45,6,3.149247333384698,4.286738566669098
662,46,5,6.865739827764458,2.068662504991719
695,44,8,5.639857774808806,2.824190066312492
728,45,6,3.540032692248664,4.101238542318718
761,48,9,10.38625022499888,1.3104932787340562
794,52,6,10.63517601255593,1.267262910049861
827,48,7,10.51940589321136,2.1389040624927547
860,50,7,3.591084443088163,8.186941985334489
893,53,9,2.42910502880935,11.968328540439954
926,56,7,1.941242451532323,12.886015825913665
959,52,6,3.144054979691006,6.977964032377931
992,46,8,5.284336102667252,4.199586959335513
1025,48,8,4.875117798909387,3.6466355298644975
1058,46,4,1.423716088308551,10.701225736991839
1091,41,4,2.50929897570759,7.289957515592962
1124,39,5,3.323627674270045,6.178245593859389
1157,40,7,2.744297426860376,7.773695782581343
1190,35,4,2.118534412172125,10.114809231066868
1223,32,6,2.5338092116395,8.643524368788448
1256,32,4,1.215870229324524,19.276317023586216
1289,33,6,3.902731981720559,7.046346028577743
1322,36,7,5.285233668768099,5.36522758663401
1355,42,4,1.064871619744158,24.1477801056091
1388,42,5,4.013119746212659,5.715380897406321
1421,40,6,4.336899726856582,4.323364887569154
1454,38,8,3.844504557983997,4.797232563514396
1487,37,4,5.769423879273631,3.0605582164090794
1520,39,8,3.674192511638972,4.5594063727118135
1553,39,4,5.788138746065363,2.6911799734434307
1586,42,4,3.359124618383532,4.305968773866501
1619,42,5,4.637191265334612,4.1118554802773355
1652,44,4,5.491862131665851,3.314132281437431
1685,42,6,7.474925135445723,2.7180821144436527
1718,40,2,0.9883896628082229,20.256012468250564
1751,39,4,2.421954062619992,9.034168821795253
1784,38,3,3.938526059503739,6.820834668059609
1817,38,4,2.303294360295348,11.006355778916486
1850,37,5,2.14257949606263,7.663155065700757
1883,36,10,8.682556675849566,0.6825093284341951
1916,37,4,13.17951742682111,0.06152052344198598
1949,31,2,1.430226472198565,0.0751817168893107
35,7,3,1.87219075791285,12.463117465308786
68,13,6,24.62498577293903,1.147989730020331
101,18,5,4.073746022338294,10.2280963118929
134,26,5,3.720731561533213,9.958063740565638
167,35,10,4.14578517129163,8.735205568551702
200,40,5,3.486745659360042,8.627911603639834
233,43,11,3.970687359165432,5.642121564540034
266,45,8,3.703528648988024,3.920185286668608
299,48,3,5.498304103916841,1.8187426179058144
332,49,3,1.473214285714285,7.803751803751809
365,50,6,1.863632166436858,8.594328298856034
398,49,5,3.682470033314548,7.38930231816423
431,50,9,6.021978809914521,6.376641501424524
464,51,11,5.978575135001067,7.96963452789674
497,51,9,3.554280243479373,14.936423595610531
530,55,10,5.421888946560702,9.400726844844153
563,61,13,5.310497952639883,6.956012607446624
596,61,12,3.522174152316874,6.205804299281934
629,60,9,6.084512786414968,2.1936386183661036
662,58,3,1.147183954696104,7.827763821757853
695,53,6,4.65426220510843,2.4627456825192686
728,49,3,1.538260742787257,10.624686023874116
761,44,6,6.933067022340945,3.9446445217329877
794,44,8,5.310351139671051,5.99529492019493
827,38,5,3.005898715513376,9.455093242130394
860,37,8,5.785722218613961,4.500049441065852
893,39,4,5.987522514259652,3.88628697659402
926,46,8,5.973556902342792,3.7150443777983715
959,48,6,3.307644837888933,7.983399456168181
992,50,6,2.381790797581102,11.196057476478952
1025,48,9,3.754639140173538,9.363416479586128
1058,45,4,1.31973752274566,25.945114199302505
1091,42,8,2.681101290107992,15.659284167677198
1124,45,6,2.411947637706875,15.54760120565992
1157,45,8,3.573546276582353,10.032569631682406
1190,44,3,1.943349610013561,16.382600973120347
1223,35,4,2.811608737786148,12.880272147255003
1257,34,7,5.265156541370724,6.721957188671003
1290,34,5,3.192071317848161,12.28534151327981
1323,38,7,2.878081799416349,14.08863557048932
1356,39,9,5.243779823457332,9.783671422266812
1389,47,12,5.94090020799708,9.028051287724308
1422,58,9,4.733043980515713,10.928302830897973
1455,60,11,3.581629432452905,14.906312865629184
1488,64,8,4.312010339128408,11.236179188551459
1521,66,11,2.823255840690358,15.567848853284517
1554,66,12,6.120689173558851,6.469199541615781
1587,65,10,2.729226510192528,13.697879324050009
1620,67,8,3.025528596474175,11.116021456618538
1653,66,12,4.505486052461742,6.728609569014749
1686,62,9,4.840578296619936,5.622828568745471
1719,59,4,4.246372457350363,5.867420836851101
1752,51,7,4.60569451839296,6.258237340027047
1785,50,8,4.414482553934373,6.659897199910209
1818,53,10,2.199856978999635,12.608023758533792
1851,54,9,2.532548154140945,8.799023458190785
1884,51,6,2.25988916344438,7.4039144991911705
1917,51,4,6.030938133724706,0.8778265552840581
1950,46,8,7.148295710357094,0.16219534513313433
35,15,4,5.203398174717727,1.067678345768135
68,18,2,9.348846863208134,0.5992024400247294
101,25,4,15.64148177217952,0.4794942134791705
134,31,4,9.714517006784195,0.8965630934890927
167,35,5,4.664330743937523,1.6538890867274754
200,35,7,10.78991419657577,0.7149533882979235
236,33,3,4.303668661264474,1.9011264169705517
269,29,2,0.50298681945675,27.650915369975014
302,29,6,5.596059959974904,4.318514604831904
335,29,6,3.16128042821664,9.308028194424184
368,32,10,10.00757634749246,2.8337905218285786
401,35,6,4.958988988558223,5.228600323250548
434,37,4,3.174182153622772,8.69203112953075
467,34,6,2.635586547276677,14.87930127547166
500,36,5,6.659992364808851,7.038296357167876
533,45,8,4.619548005628439,9.236112843655217
566,49,10,8.929068578286557,4.207384777202984
599,57,8,3.218526105095663,7.635800546375373
632,59,8,3.496596117884068,6.143989789835348
665,59,6,3.186978420734547,6.399629220359725
698,56,7,2.563896203871281,8.381031652392911
731,54,7,4.697895289615927,4.497023008702207
764,52,6,8.26184623577966,2.800950898941761
797,59,6,3.407698004050565,6.96744189916045
830,51,8,3.947449748196955,8.013778248235782
863,47,8,5.796341487651416,5.142030469133657
896,46,9,3.462862714543255,9.2283536407378
929,39,3,4.221768606295672,8.928084697986383
962,46,13,4.780771581465793,7.006479234743976
995,49,8,2.51664987743019,9.251311886476708
1028,55,8,7.202648706513571,2.431765344783793
1061,53,2,1.526062422182798,9.901339993333389
1094,55,9,7.647284699823267,2.15762857637317
1127,53,4,1.416390579156928,11.367365165900155
1160,48,5,2.10723293001662,9.524074988846229
1193,50,8,3.829434952219836,4.182514356950278
1226,49,8,5.801662415703029,2.1369666649539316
1259,55,7,6.938865151062771,1.3647328148820663
1292,52,6,3.121021472807098,3.7432271483812323
1325,52,7,3.455213415412328,4.174294085205079
1358,55,6,1.498117125136499,8.505626181439741
1391,49,6,2.819569437430281,5.428531833899219
1424,45,4,3.663831539486099,4.857291091170764
1457,45,6,2.720665138515191,6.969973149033711
1490,44,7,3.373320934027596,4.4017409368626
1523,42,6,5.027514325609173,2.273205144410335
1556,45,4,1.9106686545935,5.12715602087505
1589,45,7,1.734804316109909,6.148628158007694
1622,40,3,8.821717075313934,1.721603614164823
1655,44,5,1.824695523790299,7.566642216087835
1688,41,6,9.020208629550243,2.165417799895961
1721,34,5,6.938273009724884,3.8469481430288357
1754,41,10,11.69443299162347,2.129079195337998
1787,49,8,6.956040006547641,2.503574730737898
1820,59,8,3.894996672938454,3.7132963261934804
1853,60,6,4.444517620983727,3.003075555197825
1886,56,8,5.894726335602446,2.2720066005385444
1919,57,5,2.95722898881396,1.6017840090100488
1952,53,10,6.732239755647845,0.18917699783224967
35,15,4,10.96734537895643,1.139747091760632
68,17,5,11.26599420835557,1.5707516002669364
101,22,4,2.130365778238752,9.405839594571786
134,24,5,8.388666264767677,3.2451192314748907
167,36,9,5.637287701095197,3.6956306716944556
200,39,6,3.992439345494654,5.480444406759286
233,38,8,5.738662522767465,3.913131371950365
266,52,11,7.141631198056063,2.748869230569325
299,62,6,5.643724486515201,3.2603536332033594
332,60,10,3.731559436432899,5.374577545179668
365,55,6,1.246359335269912,17.554157344237968
398,58,5,5.376389150878484,4.064707308675989
431,61,6,2.156814513079347,10.647406503923177
464,56,7,4.194658164778714,7.183881829621811
497,57,9,5.097478105024627,5.552567953033851
530,51,9,4.504074099945491,7.676419754975
563,54,9,6.876503140257077,5.388271971968774
596,58,7,2.081407962390794,22.4276236692872
629,60,10,5.648699180556627,9.149107414578753
662,64,12,3.048063417810426,14.870268304946519
695,65,9,1.902203277967522,18.93216194606694
728,65,6,2.932228462159125,9.65835820298232
761,61,4,3.705220757607424,6.197871159813381
794,57,7,4.114310178498977,4.605235774412418
